Sex ID,Sex,Age Range ID,Age Range,Workforce,Worked Hours Week,Worked Days Week,Monthly Wage
1,Male,1,15 to 24 years,463106389,22.405665638527825,2.8163371721481476,1668.1598841816021
1,Male,2,25 to 34 years,355295264,41.110980829173116,4.809439410371651,4060.7119679760212
1,Male,3,35 to 44 years,334459998,42.551244146093666,4.948867206535114,4487.380811121693
1,Male,4,45 to 54 years,276282130,40.53249929700484,4.782651328191222,4248.444610764366
1,Male,5,55 to 64 years,191908821,32.35408025355958,3.9676300965863365,3043.6162591765387
1,Male,6,65 to 74 years,113674440,19.73256385516392,2.6629872203461042,1456.3744469381156
1,Male,7,75 or more years,73371530,9.354384432217783,1.4076057429905033,523.4104031904473
2,Female,1,15 to 24 years,463575279,10.794427191619077,1.4726764819570977,765.2853844693474
2,Female,2,25 to 34 years,394517505,19.70786831119192,2.614257499169777,1867.4995708694853
2,Female,3,35 to 44 years,381821148,20.463711755955433,2.7545141554076515,1992.735842468317
2,Female,4,45 to 54 years,316963491,18.817875027758323,2.5655874448959803,1822.4983200320696
2,Female,5,55 to 64 years,220572075,12.55495710415745,1.7967313858746625,1074.602634979972
2,Female,6,65 to 74 years,132856025,6.141919389805619,0.9624286064557479,414.6972588785492
2,Female,7,75 or more years,92038112,2.3595298325980436,0.39224479094051823,115.65519579541136
